nword,score
141,6.551778091958373
4010,0.718902151939165
3789,2.1777042400452467
2588,0.5022222724090899
1095,1.2263541022935134
4297,0.46404123916041573
2660,0.2878318984568872
2451,0.031870317885010546
1269,0.40764768876738333
2936,0.23352979215169326
2288,0.8049155835978735
838,0.06287400925200706
3573,0.2995787682501674
3687,0.15191722179386674
1801,0.031870317885010546
1651,0.8487877407567878
3759,0.21535543982702837
792,1.2152661951630206
2222,0.6174622513510544
2138,0.18909975017723318
2319,0.7334351413353667
1249,0.031870317885010546
571,0.7080449354475068
1883,0.14297266237611245
3897,0.3875403680931206
905,4.249284761683774
2596,0.35136836121365916
677,1.066139483096155
1535,0.49385324396034824
2977,1.457830374418675
3249,0.5627280898848664
3490,0.6488552748226466
1035,0.6174552101303445
3960,1.2722922129829706
131,2.172580128490741
2137,0.47243363002111655
2716,0.3099261266555812
814,0.11633643118544387
562,0.24420481623288354
1982,0.16258764290894478
1324,0.8141482196129682
3268,0.09048551765412763
2283,0.15205824772694376
4011,0.33734374946203183
2041,0.8465272129215664
50,1.660195710794855
1400,0.20362908564830234
832,1.4314534120129394
854,2.4083946553183546
4102,0.031870317885010546
710,0.17648598451915873
471,2.1510521673572147
771,0.677564953445221
304,0.655205491783295
4336,0.1636015262275783
100,0.10022278745480896
3601,0.3603256209593246
2974,0.19681109251885856
3534,1.2498984064546175
1183,0.43200578907416276
1439,0.15022024911101373
4138,5.3704396253870526
1195,0.5390615743983264
328,7.859425562265999
773,1.5162281701622489
3547,0.7847814238336585
193,0.8996056150597062
500,0.7657475319881296
2269,2.042870121533846
1161,0.9349112255750565
887,1.95059308650515
3074,0.5114623040491996
24,0.031870317885010546
4163,0.06870452817682825
1149,0.5021705332799972
4369,0.8949176339829529
1997,0.5412516618763985
367,0.4293245239868396
2849,0.10160886861368791
1790,0.2215074455447269
3949,2.065462304607457
1727,0.7456052286348285
175,0.9313105475887907
2470,0.0430396561756256
1097,0.15935158942505273
4362,0.031870317885010546
2905,0.031870317885010546
1475,1.8962301290209076
954,0.5040971685016706
2618,1.1321595064857015
4363,0.6084433613762521
3676,0.4637188440498997
1403,0.2729841141065961
4352,1.2163871587084953
1370,0.44299449354585896
3618,1.2887089783753363
3714,1.5467316470078256
3713,1.857204466737911
3476,3.579845767709581
467,1.4252599830740877
2859,0.873964385323607
2546,0.8228301073551607
2142,0.3330006055578051
2340,0.031870317885010546
2385,0.35887614807779245
576,0.06374063577002109
2073,1.0733092712628514
4056,0.9189052562179312
3930,0.031870317885010546
3146,0.10959461959834846
2663,0.2148844455615223
2231,0.031870317885010546
2924,0.1054713572164821
3686,0.031870317885010546
2611,1.8114887186098778
3419,0.6451301168293829
2152,1.6531995985370465
2748,0.18428990753982807
706,0.5557547824993951
664,0.41342257191341897
2683,0.2766854964698501
2226,0.290112460333153
2178,1.4269825575978752
3072,0.6819248939889837
972,0.5224050869564039
1496,0.9480315700595248
4122,0.9063722504363654
2439,0.4542686021088399
2507,3.9200889591151085
1645,0.9802781518895872
2469,1.2706006535152083
3445,1.3358772259022136
3847,0.5740926567448464
537,1.380858248054559
2649,0.09155731908970968
834,0.8811937104365775
210,0.26663138575040995
885,0.6419632032559428
3889,0.031870317885010546
3792,0.7225461198251009
3631,0.669703365605626
4330,0.2079347292246279
1338,0.08944401315595048
4261,1.0575410800460912
4252,1.3323167498662336
2199,0.031870317885010546
2756,0.09615435682442894
1364,1.3059717046516226
1482,0.29957867192920273
3482,1.8465383735537537
1828,0.28807126089151297
11,2.40864230996599
2275,1.3677961849255906
1812,0.4412610323286883
3325,0.4129000491029901
214,0.22420731296596108
2798,0.6721840225084591
2952,0.22419005823144417
624,1.231055940730341
3682,1.806165287493545
1847,0.23136673455669282
2216,0.3986181169828025
2149,0.4206096404893774
3923,0.609521536866597
3761,0.17039754989267908
315,2.073332127528183
4218,0.19946090354333673
1107,1.1709959337155993
696,0.19466205915517976
2666,0.1185037678721643
4190,0.46367947585168406
3386,1.199868485997396
842,0.563390027180242
2951,0.1050397457162413
2894,1.9493503902635607
3517,1.0299034617174567
2131,0.7280624826948208
1581,1.1524010947798697
1368,0.532429859247017
1340,1.0105812897107689
1012,0.29231404242140635
717,0.051259308672283926
1951,4.385969651374705
676,0.4153383998447576
1010,0.031870317885010546
3055,0.1577988119825003
2185,0.7652798033686982
1009,0.349351391281481
2946,0.16821803155615386
358,1.346500621775466
1396,0.12030627536958115
3009,0.0831694128426255
1933,0.2139362580454368
3394,0.30235474337492807
644,1.0602887725150638
1327,1.3959557015537112
2793,0.18000686795668613
3452,1.4838885307406793
2552,0.18746747682742831
1223,1.5108780444712995
3702,1.0780686721260668
1197,0.031870317885010546
1843,0.05868879908536796
2200,0.7929282402695127
1627,2.201615546529944
1525,1.3573383169340305
3178,1.184612131656071
4133,2.145016384024155
1159,1.227528304285308
4211,0.6049650147060883
2598,0.37146774861394016
4291,0.8773449608939028
2657,0.4205517030227242
1317,0.4249171589798813
2031,0.4154003394300758
2234,0.32072426474496896
1557,0.18822622738346834
248,0.6714240629462942
2706,0.579807653748655
3461,0.18680457531023348
2506,0.14031221937447366
4033,0.3057151126714041
